Event/Description,Position,A/C,Dimension,To go,Expected,Planned,Workpackage,W/O-Flags
FF100FH/W11703433 /FUERA DE FASE 100 FH,,CMB,H,11:06,14.07.2025,13.07.2025,CMB64166,11703433
E190-31-0008/W11741943 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CMB,D,0,14.07.2025,---,0,11741943
E190-31-0008/W11741954 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CPI,D,0,14.07.2025,---,0,11741954
E190-31-0008/W11741949 /QAR MEMORY CARD REPLACEMENT PROCESS,U,CPJ,D,0,14.07.2025,---,0,11741949
FF100FH/W11710305 /FUERA DE FASE 100 FH,,FPT,H,15:02,14.07.2025,11.07.2025,FPT64147,11710305
COMP-71-0016/W10809437 /P408629 /CF34-10E - MAIN IGNITER PLUG REPLACEMENT,R,FPT,H,15:00,14.07.2025,---,0,10809437
COMP-72-0074/W9630904 /CF34-10E - T/S FOR VIBRATION -FAN BLADE LUBRICATION AND TRIM BALANCE,R,FPT,H,13:28,14.07.2025,---,0,9630904
E190-31-0008/W11737386 /QAR MEMORY CARD REPLACEMENT PROCESS,U,FPT,D,0,14.07.2025,---,0,11737386
FF350FH/FUERA DE FASE 350 FH,,GIQ,H,21:35,14.07.2025,---,0,
E190-31-0008/W11733138 /QAR MEMORY CARD REPLACEMENT PROCESS,U,GIQ,D,0,14.07.2025,---,0,11733138
FF180MO/W8658558 /FF180MO,,CDY,D,1,15.07.2025,12.07.2025,CDY63700,8658558
E190-29-0007/W11497343 /AIR BLEEDING OF THE HYDRAULIC SYSTEMS,,CDY,H,20:33,15.07.2025,---,0,11497343
COMP-55-0021/W11764591 /ELEVATOR P/N 190-62062-411 S/N 0594 - TAPE REPETITIVE INSPECTION,U,CDY,C,15,15.07.2025,---,0,11764591
FF100FH/FUERA DE FASE 100 FH,,CET,H,30:05,15.07.2025,---,0,
FF100FH/FUERA DE FASE 100 FH,,CEV,H,27:31,15.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CHS,D,"23h, 1m",15.07.2025,---,0,
FF100FH/FUERA DE FASE 100 FH,,CHS,H,25:22,15.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CID,D,"17h, 2m",15.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CIE,D,"20h, 30m",15.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CIF,D,"22h, 57m",15.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CIG,D,21h,15.07.2025,---,0,
COMP-71-0015/W10956673 /CF34-10E - FAN BLADE LUBRICATION CONSOLIDATED ON-WING INSPECTION RECOM,L,CIG,C,17,15.07.2025,---,0,10956673
DIARIA E-190/DIARIA EMBRAER E-190,,CIH,D,22h,15.07.2025,---,0,
FF100FH/FUERA DE FASE 100 FH,,CIH,H,27:38,15.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CKZ,D,"19h, 30m",15.07.2025,---,0,
COMP-72-0178/W11433327 /CF34-10E -1ST HPT NGVS - REDUCED INTERVAL OF BSI.,L,CKZ,C,19,15.07.2025,---,0,11433327
11756364/TRIM BALANCE Engine POS. 2 - ESN 424125 Ref CNR: 20250628040 - LPT Efficiency   1- Perform ...,R,CMB,C,14,15.07.2025,---,0,11756364
"11757373/SCHEDULED W/O 1626921 POR CAMBIO DE PARABRISAS LADO COMANDANTE, EFECTUAR RE-TORQUE DE TORNILLO...",,CEV,C,25,16.07.2025,---,0,11757373
DIARIA E-190/DIARIA EMBRAER E-190,,CMA,D,"1d, 21h",16.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CMB,D,"1d, 23h",16.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CPI,D,"1d, 20h",16.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CPJ,D,"1d, 20h",16.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,FPT,D,"1d, 22h",16.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,GIK,D,"1d, 22h",16.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,GIQ,D,"1d, 22h",16.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CDY,D,"2d, 21h",17.07.2025,---,0,
E190-34-0004/W10118062 /MODULAR RADIO CABINET - CLEANING,,CDY,H,30:21,17.07.2025,---,0,10118062
COMP-71-0016/W10770702 /P408622 /CF34-10E - MAIN IGNITER PLUG REPLACEMENT,R,CDY,H,30:21,17.07.2025,---,0,10770702
CF34-10E5A1G07/994612/W10765226 SD(SPECIAL DETAILED INSPECTION) / 72-51-00-001-U,R,CDY,H,30:21,17.07.2025,11.07.2025,CDY63001,10765226
CF34-10E5A1G07/994612/W10765228 SD(SPECIAL DETAILED INSPECTION) / 72-40-00-001-U,R,CDY,H,30:21,17.07.2025,11.07.2025,CDY63001,10765228
CF34-10E5A1G07/424599/W10756622 SD(SPECIAL DETAILED INSPECTION) / 72-40-00-001-U,L,CDY,H,30:21,17.07.2025,11.07.2025,CDY63004,10756622
CF34-10E5A1G07/424599/W10756620 SD(SPECIAL DETAILED INSPECTION) / 72-51-00-001-U,L,CDY,H,30:21,17.07.2025,11.07.2025,CDY63004,10756620
DIARIA E-190/DIARIA EMBRAER E-190,,CDZ,D,"2d, 23h",17.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CET,D,"2d, 22h",17.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CEU,D,"2d, 22h",17.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CEV,D,"2d, 21h",17.07.2025,---,0,
11767804/(PTC) FAILURE OF THE FORWARD TRIM-AIR BYPASS-VALVE OPEN MNT MSG: FWD TRIM BYP VLV (OPEN)[C2]/W...,,CEV,D,3,17.07.2025,---,0,11767804
FF100FH/FUERA DE FASE 100 FH,,CHO,H,31:10,17.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CHO,D,"2d, 23h",17.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CHQ,D,"2d, 21h",17.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190,,CHR,D,"2d, 21h",17.07.2025,---,0,
FF100FH/FUERA DE FASE 100 FH,,CIE,H,34:27,17.07.2025,---,0,
FF100FH/FUERA DE FASE 100 FH,,CIG,H,35:28,17.07.2025,---,0,
11748550/*(PTC) FAILURE OF THE RIGHT HIGH-STAGE BLEED VALVE CLOSED MSGE MNT: RH HPSOV (CLOSED) [C1]/WRG...,,CMA,D,3,17.07.2025,---,0,11748550
FF350FH/FUERA DE FASE 350 FH,,GIK,H,33:06,17.07.2025,---,0,
FF2500FH/2000FC/12MO/W11271758 /FUERA DE FASE 2500 FH/2000 FC/12 MO,,CDZ,H,43:35,18.07.2025,14.07.2025,CDZ63705,11271758
FF100FH/FUERA DE FASE 100 FH,,CDZ,H,41:17,18.07.2025,---,0,
1625639/P408669 /IDT INDICACION PUERTA PAX DELANTERA SIN INDICACION DE CIERRE DE PUERTA DELANTERA LH1,001,CDZ,D,4,18.07.2025,---,0,1625639
COMP-71-0033/W11367517 /CF34-10E - SPECIAL DETAILED INSP. OF STG 2 AND 3 HPC VSV SHROUD J-HOOK,R,CHO,H,43:17,18.07.2025,---,0,11367517
FF100FH/FUERA DE FASE 100 FH,,CHQ,H,51:26,18.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CHS,D,"3d, 23h",18.07.2025,---,0,
FF100FH/FUERA DE FASE 100 FH,,CID,H,38:38,18.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CID,D,"3d, 17h",18.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CIE,D,"3d, 20h",18.07.2025,---,0,
E190-57-0100/W11682607 /LV-CIE - FLAP TRACK 2A RH - REPETITIVE INSPECTIONS,,CIE,C,31,18.07.2025,---,0,11682607
DIARIA E-190/DIARIA EMBRAER E-190(1),,CIF,D,"3d, 22h",18.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CIG,D,"3d, 21h",18.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CIH,D,"3d, 22h",18.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CKZ,D,"3d, 19h",18.07.2025,---,0,
E190-29-0007/W11514876 /AIR BLEEDING OF THE HYDRAULIC SYSTEMS,,CKZ,H,41:16,18.07.2025,---,0,11514876
E190-53-0182/W11741854 /LV-CPI - REPETITIVE INSPECTIONS OF SPEED TAPE APPLIED ON WING TO FUSEL,,CPI,C,27,18.07.2025,---,0,11741854
E190-57-0105/W11743352 /LV-CPI - RH / LH WING - SLATS SEALS - REPETITIVE INSPECTIONS,,CPI,C,27,18.07.2025,---,0,11743352
COMP-32-0010/W11733050 /MLG SLIDING TUBE LUBRICATION AND NLG-MLG SLIDING TUBE (LH/RH) CLEANING,R,FPT,C,27,18.07.2025,---,0,11733050
COMP-32-0010/W11733051 /MLG SLIDING TUBE LUBRICATION AND NLG-MLG SLIDING TUBE (LH/RH) CLEANING,L,FPT,C,27,18.07.2025,---,0,11733051
E190-29-0007/W11497342 /AIR BLEEDING OF THE HYDRAULIC SYSTEMS,,CHO,H,45:47,19.07.2025,---,0,11497342
E190-29-0007/W11563286 /AIR BLEEDING OF THE HYDRAULIC SYSTEMS,,CID,H,52:33,19.07.2025,---,0,11563286
IC01/W10928696 /INTERMEDIATE CHECK 1,,CIE,H,51:03,19.07.2025,16.07.2025,CIE63390,10928696
E190-24-0001/W10928731 /SPDA CLEANING PROGRAM,,CIE,H,51:03,19.07.2025,16.07.2025,CIE63390,10928731
E190-57-0030/W10928732 /INSPECTION OF THE MF SPOILER SUPPORT FITTINGS (POSITIONS 3 TO 5) AND,,CIE,H,51:03,19.07.2025,16.07.2025,CIE63390,10928732
E190-52-0002/W10928728 /PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO,,CIE,H,51:03,19.07.2025,16.07.2025,CIE63390,10928728
E190-21-0003/W10928727 /REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS,,CIE,H,51:03,19.07.2025,16.07.2025,CIE63390,10928727
E190-21-0005/W10928729 /REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS,,CIE,H,51:03,19.07.2025,16.07.2025,CIE63390,10928729
E190-25-0016/W10928723 /EGA CHART INSTALLATION CHECK,,CIE,H,51:03,19.07.2025,16.07.2025,CIE63390,10928723
E190-44-0001/W10964442 /IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS,,CIE,H,51:03,19.07.2025,16.07.2025,CIE63390,10964442
"E190-51-0002/W10974309 /CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML",,CIE,H,51:03,19.07.2025,16.07.2025,CIE63390,10974309
27-00-00-001C-U (0)/W11018456 / POWER CONTROL UNITS (PCU) - INTEGRITY TEST,,CIE,H,51:03,19.07.2025,---,0,11018456
11595827/LIMPIEZA DEL FILTRO DEL CONTROLADOR DEL MOTOR DE TORQUE 1) Realice el procedimiento para hacer...,,CIE,H,51:03,19.07.2025,16.07.2025,CIE63390,11595827
FF100FH/FUERA DE FASE 100 FH,,CIF,H,49:05,19.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CMA,D,"4d, 21h",19.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CMB,D,"4d, 23h",19.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CPI,D,"4d, 20h",19.07.2025,---,0,
FF100FH/FUERA DE FASE 100 FH,,CPJ,H,51:32,19.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CPJ,D,"4d, 20h",19.07.2025,---,0,
E190-54-0020/W10942299 /LH PYLON LOWER LONK LUGS INSPECTION,,CPJ,C,35,19.07.2025,---,0,10942299
E190-54-0021/W10942301 /RH PYLON LOWER LONK LUGS INSPECTION,,CPJ,C,35,19.07.2025,---,0,10942301
DIARIA E-190/DIARIA EMBRAER E-190(1),,FPT,D,"4d, 22h",19.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,GIK,D,"4d, 22h",19.07.2025,---,0,
E190-34-0001/W11263028 /WEATHER RADAR – ELECTRICAL WIRING INSPECTION,,GIK,D,5,19.07.2025,---,0,11263028
DIARIA E-190/DIARIA EMBRAER E-190(1),,GIQ,D,"4d, 22h",19.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CDY,D,"5d, 21h",20.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CDZ,D,"5d, 23h",20.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CET,D,"5d, 22h",20.07.2025,---,0,
FF100FH/FUERA DE FASE 100 FH,,CEU,H,62:35,20.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CEU,D,"5d, 22h",20.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(2),,CEV,D,"5d, 21h",20.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CHO,D,"5d, 23h",20.07.2025,---,0,
REPLACE 90002317-2WT/DEC06-0932/W11687661 (MAIN WHEEL TIRE ASSY),L02,CHO,C,44,20.07.2025,---,0,11687661
DIARIA E-190/DIARIA EMBRAER E-190(1),,CHQ,D,"5d, 21h",20.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(1),,CHR,D,"5d, 21h",20.07.2025,---,0,
FF350FH/FUERA DE FASE 350 FH,,CIG,H,60:40,20.07.2025,---,0,
FF100FH/FUERA DE FASE 100 FH,,CPI,H,60:56,20.07.2025,---,0,
IC01/W11182885 /INTERMEDIATE CHECK 1,,CPI,H,62:12,20.07.2025,15.07.2025,CPI63707,11182885
"E190-51-0002/W11182889 /CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML",,CPI,H,62:12,20.07.2025,15.07.2025,CPI63707,11182889
E190-52-0002/W11182886 /PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO,,CPI,H,62:12,20.07.2025,15.07.2025,CPI63707,11182886
E190-21-0003/W11182888 /REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS,,CPI,H,62:12,20.07.2025,15.07.2025,CPI63707,11182888
E190-21-0005/W11182887 /REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS,,CPI,H,62:12,20.07.2025,15.07.2025,CPI63707,11182887
E190-44-0001/W11182893 /IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS,,CPI,H,62:12,20.07.2025,15.07.2025,CPI63707,11182893
E190-24-0001/W11182891 /SPDA CLEANING PROGRAM,,CPI,H,62:12,20.07.2025,15.07.2025,CPI63707,11182891
E190-25-0016/W11182890 /EGA CHART INSTALLATION CHECK,,CPI,H,62:12,20.07.2025,15.07.2025,CPI63707,11182890
27-00-00-001C-U (0)/W11182923 / POWER CONTROL UNITS (PCU) - INTEGRITY TEST,,CPI,H,62:12,20.07.2025,---,0,11182923
40103248/P408703 /TUBO QUEMADO SOBRE PORTAMANTAS - IDT TUBO QUEMADO SOBRE PORTAMANTAS,,CPI,D,6,20.07.2025,---,0,40103248
FF6MO/W11257939 /FUERA DE FASE DE 6 MO,,CPJ,D,6,20.07.2025,17.07.2025,CPJ64022,11257939
GNRL-38-0001/W11257940 /POTABLE WATER SYSTEM. INCORPORATION OF STERILIZATION CONTROL CHART,,CPJ,D,6,20.07.2025,17.07.2025,CPJ64022,11257940
REPLACE 5912855-01/B02748/W11626568 (MAIN BATTERY),F,FPT,H,57:27,20.07.2025,---,0,11626568
FF100FH/FUERA DE FASE 100 FH,,CDY,H,69:17,21.07.2025,---,0,
FF350FH/FUERA DE FASE 350 FH,,CDY,H,70:33,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CDY,D,7,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CDZ,D,7,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CET,D,7,21.07.2025,---,0,
REPLACE 90000581-1WTA/JUL18-6648/W11737211 (NOSE WHEEL TIRE ASSY),001,CET,C,52,21.07.2025,---,0,11737211
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CEU,D,7,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CEV,D,7,21.07.2025,---,0,
COMP-71-0071/W11558755 /CF34-10E - BSI OF THE STG 3 BLADE FOR INTERLOCK HIGH WEAR CONDITION,R,CHO,H,63:10,21.07.2025,---,0,11558755
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CHO,D,7,21.07.2025,---,0,
FF350FH/FUERA DE FASE 350 FH,,CHQ,H,77:29,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CHQ,D,7,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CHR,D,7,21.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(2),,CHS,D,"6d, 23h",21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CHS,D,7,21.07.2025,---,0,
IC01/W10961483 /INTERMEDIATE CHECK 1,,CID,H,67:09,21.07.2025,15.07.2025,CID63698,10961483
DIARIA E-190/DIARIA EMBRAER E-190(2),,CID,D,"6d, 17h",21.07.2025,---,0,
E190-24-0001/W10961514 /SPDA CLEANING PROGRAM,,CID,H,67:09,21.07.2025,15.07.2025,CID63698,10961514
E190-21-0003/W10961515 /REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS,,CID,H,67:09,21.07.2025,15.07.2025,CID63698,10961515
E190-52-0002/W10961517 /PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO,,CID,H,67:09,21.07.2025,15.07.2025,CID63698,10961517
E190-21-0005/W10961518 /REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS,,CID,H,67:09,21.07.2025,15.07.2025,CID63698,10961518
E190-25-0016/W10961519 /EGA CHART INSTALLATION CHECK,,CID,H,67:09,21.07.2025,15.07.2025,CID63698,10961519
E190-44-0001/W10964438 /IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS,,CID,H,67:09,21.07.2025,15.07.2025,CID63698,10964438
"E190-51-0002/W10974306 /CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML",,CID,H,67:09,21.07.2025,15.07.2025,CID63698,10974306
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CID,D,7,21.07.2025,---,0,
27-00-00-001C-U (0)/W11018452 / POWER CONTROL UNITS (PCU) - INTEGRITY TEST,,CID,H,67:09,21.07.2025,---,0,11018452
DIARIA E-190/DIARIA EMBRAER E-190(2),,CIE,D,"6d, 20h",21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CIE,D,7,21.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(2),,CIF,D,"6d, 22h",21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CIF,D,7,21.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(2),,CIG,D,"6d, 21h",21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CIG,D,7,21.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(2),,CIH,D,"6d, 22h",21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS,,CIH,D,7,21.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(2),,CKZ,D,"6d, 19h",21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CKZ,D,7,21.07.2025,---,0,
E190-53-0189/LV-CKZ - WING TO FUSELAGE FAIRING - RH - SPEED TAPE INSPECTION(1),,CKZ,C,48,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CMA,D,7,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CMB,D,7,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CPI,D,7,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,CPJ,D,7,21.07.2025,---,0,
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,FPT,D,7,21.07.2025,---,0,
E190-31-0008/W11745087 /QAR MEMORY CARD REPLACEMENT PROCESS,U,GIK,D,7,21.07.2025,---,0,11745087
E190-31-0008/QAR MEMORY CARD REPLACEMENT PROCESS(1),,GIQ,D,7,21.07.2025,---,0,
1640004/DISCREPANCY APU F/S,,CDZ,D,8,22.07.2025,---,0,1640004
E190-34-0001/W11288691 /WEATHER RADAR – ELECTRICAL WIRING INSPECTION,,CEV,D,8,22.07.2025,---,0,11288691
1625289/P408771 /IDT APU NO ARRANCA MGE APU FAIL,,CHO,D,8,22.07.2025,---,0,1625289
COMP-71-0071/W11558748 /CF34-10E - BSI OF THE STG 3 BLADE FOR INTERLOCK HIGH WEAR CONDITION,R,CHQ,H,86:22,22.07.2025,---,0,11558748
E190-29-0007/W11594221 /AIR BLEEDING OF THE HYDRAULIC SYSTEMS,,CHQ,H,84:05,22.07.2025,---,0,11594221
FF350FH/FUERA DE FASE 350 FH,,CHR,H,83:47,22.07.2025,---,0,
COMP-71-0015/W10829528 /CF34-10E - FAN BLADE LUBRICATION CONSOLIDATED ON-WING INSPECTION RECOM,R,CIE,C,59,22.07.2025,---,0,10829528
1625461/IDT DURANTE LA PUESTA EN MARCHA EL APU SE CORTA Y APARECE FLT CNTRL NO DISPATCH.,,CIG,D,8,22.07.2025,---,0,1625461
DIARIA E-190/DIARIA EMBRAER E-190(2),,CMA,D,"7d, 21h",22.07.2025,---,0,
"REPLACE 104003-2/EF1575/W10956811 (SLIDE ASSY, FWD)",SVC,CMA,D,8,22.07.2025,20.07.2025,CMA28950,10956811
DIARIA E-190/DIARIA EMBRAER E-190(2),,CMB,D,"7d, 23h",22.07.2025,---,0,
REPLACE 5912855-01/B02752/W11626584 (MAIN BATTERY),A,CMB,H,80:03,22.07.2025,---,0,11626584
DIARIA E-190/DIARIA EMBRAER E-190(2),,CPI,D,"7d, 20h",22.07.2025,---,0,
E190-26-0002/W11122872 /FIRE PROTECTION - COLOR CODED IDENTIFICATION FOR ELECTRICAL WIRING CON,,CPI,H,80:07,22.07.2025,---,0,11122872
11739387/P408436 /FINDING (NRC) TASKCARD 57-40-08-001-U (0) / 1 IDT SELLO LONGITUDINAL (TRAMO CENTRAL) DE SLAT R...,,CPI,C,56,22.07.2025,---,0,11739387
11739384/P408437 /FINDING (NRC) TASKCARD 57-40-08-001-U (0) / 1 IDT SELLO LONGITUDINAL (TRAMO CENTRAL) DE SLAT L...,,CPI,C,56,22.07.2025,---,0,11739384
DIARIA E-190/DIARIA EMBRAER E-190(2),,CPJ,D,"7d, 20h",22.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(2),,FPT,D,"7d, 22h",22.07.2025,---,0,
FF100FH/FUERA DE FASE 100 FH,,GIK,H,78:16,22.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(2),,GIK,D,"7d, 22h",22.07.2025,---,0,
DIARIA E-190/DIARIA EMBRAER E-190(2),,GIQ,D,"7d, 22h",22.07.2025,---,0,
E190-34-0001/W11311213 /WEATHER RADAR – ELECTRICAL WIRING INSPECTION,,GIQ,D,8,22.07.2025,---,0,11311213
4630156/IDT LUZ LATERAL DE CABINA FILA 24/25 C/D QUEMADA.,,GIQ,D,8,22.07.2025,---,0,4630156
DIARIA E-190/DIARIA EMBRAER E-190(2),,CDY,D,"8d, 21h",23.07.2025,---,0,
